PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,IsAlone,FamilyBucket,TicketGroupSize,FarePerPerson,Deck
43,0,3,male,30.0,0,0,7.8958,C,Mr,1,1,alone,1,7.8958,U
44,1,2,female,3.0,1,2,41.5792,C,Miss,4,0,small,4,10.3948,U
45,1,3,female,19.0,0,0,7.8792,Q,Miss,1,1,alone,1,7.8792,U
46,0,3,male,30.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
47,0,3,male,30.0,1,0,15.5,Q,Mr,2,0,small,2,7.75,U
48,1,3,female,21.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
49,0,3,male,30.0,2,0,21.6792,C,Mr,3,0,small,3,7.226400000000001,U
50,0,3,female,18.0,1,0,17.8,S,Mrs,2,0,small,2,8.9,U
51,0,3,male,7.0,4,1,39.6875,S,Master,6,0,large,7,5.669642857142857,U
52,0,3,male,21.0,0,0,7.8,S,Mr,1,1,alone,1,7.8,U
53,1,1,female,49.0,1,0,76.7292,C,Mrs,2,0,small,3,25.576400000000003,D
54,1,2,female,29.0,1,0,26.0,S,Mrs,2,0,small,2,13.0,U
55,0,1,male,65.0,0,1,61.9792,C,Mr,2,0,small,2,30.9896,B
56,1,1,male,30.0,0,0,35.5,S,Mr,1,1,alone,1,35.5,C
57,1,2,female,21.0,0,0,10.5,S,Miss,1,1,alone,1,10.5,U
58,0,3,male,28.5,0,0,7.2292,C,Mr,1,1,alone,1,7.2292,U
59,1,2,female,5.0,1,2,27.75,S,Miss,4,0,small,4,6.9375,U
60,0,3,male,11.0,5,2,46.9,S,Master,8,0,large,8,5.8625,U
61,0,3,male,22.0,0,0,7.2292,C,Mr,1,1,alone,1,7.2292,U
62,1,1,female,38.0,0,0,80.0,S,Miss,1,1,alone,2,40.0,B
63,0,1,male,45.0,1,0,83.475,S,Mr,2,0,small,2,41.7375,C
64,0,3,male,4.0,3,2,27.9,S,Master,6,0,large,6,4.6499999999999995,U
65,0,1,male,30.0,0,0,27.7208,C,Mr,1,1,alone,1,27.7208,U
66,1,3,male,3.5,1,1,15.2458,C,Master,3,0,small,3,5.081933333333333,U
67,1,2,female,29.0,0,0,10.5,S,Mrs,1,1,alone,1,10.5,F
68,0,3,male,19.0,0,0,8.1583,S,Mr,1,1,alone,1,8.1583,U
69,1,3,female,17.0,4,2,7.925,S,Miss,7,0,large,1,7.925,U
70,0,3,male,26.0,2,0,8.6625,S,Mr,3,0,small,1,8.6625,U
71,0,2,male,32.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
72,0,3,female,16.0,5,2,46.9,S,Miss,8,0,large,8,5.8625,U
73,0,2,male,21.0,0,0,73.5,S,Mr,1,1,alone,7,10.5,U
74,0,3,male,26.0,1,0,14.4542,C,Mr,2,0,small,2,7.2271,U
75,1,3,male,32.0,0,0,56.4958,S,Mr,1,1,alone,8,7.061975,U
76,0,3,male,25.0,0,0,7.65,S,Mr,1,1,alone,1,7.65,F
77,0,3,male,30.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
78,0,3,male,30.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
79,1,2,male,0.83,0,2,29.0,S,Master,3,0,small,3,9.666666666666666,U
80,1,3,female,30.0,0,0,12.475,S,Miss,1,1,alone,2,6.2375,U
81,0,3,male,22.0,0,0,9.0,S,Mr,1,1,alone,1,9.0,U
82,1,3,male,29.0,0,0,9.5,S,Mr,1,1,alone,1,9.5,U
83,1,3,female,21.0,0,0,7.7875,Q,Miss,1,1,alone,1,7.7875,U
84,0,1,male,28.0,0,0,47.1,S,Mr,1,1,alone,2,23.55,U
85,1,2,female,17.0,0,0,10.5,S,Miss,1,1,alone,1,10.5,U
86,1,3,female,33.0,3,0,15.85,S,Mrs,4,0,small,2,7.925,U
87,0,3,male,16.0,1,3,34.375,S,Mr,5,0,large,5,6.875,U
88,0,3,male,30.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
89,1,1,female,23.0,3,2,263.0,S,Miss,6,0,large,6,43.833333333333336,C
90,0,3,male,24.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
91,0,3,male,29.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
92,0,3,male,20.0,0,0,7.8542,S,Mr,1,1,alone,1,7.8542,U
93,0,1,male,46.0,1,0,61.175,S,Mr,2,0,small,2,30.5875,E
94,0,3,male,26.0,1,2,20.575,S,Mr,4,0,small,4,5.14375,U
95,0,3,male,59.0,0,0,7.25,S,Mr,1,1,alone,1,7.25,U
96,0,3,male,30.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
97,0,1,male,71.0,0,0,34.6542,C,Mr,1,1,alone,1,34.6542,A
98,1,1,male,23.0,0,1,63.3583,C,Mr,2,0,small,2,31.67915,D
99,1,2,female,34.0,0,1,23.0,S,Mrs,2,0,small,2,11.5,U
100,0,2,male,34.0,1,0,26.0,S,Mr,2,0,small,2,13.0,U
101,0,3,female,28.0,0,0,7.8958,S,Miss,1,1,alone,1,7.8958,U
102,0,3,male,30.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
103,0,1,male,21.0,0,1,77.2875,S,Mr,2,0,small,2,38.64375,D
104,0,3,male,33.0,0,0,8.6542,S,Mr,1,1,alone,1,8.6542,U
105,0,3,male,37.0,2,0,7.925,S,Mr,3,0,small,1,7.925,U
106,0,3,male,28.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
107,1,3,female,21.0,0,0,7.65,S,Miss,1,1,alone,1,7.65,U
108,1,3,male,30.0,0,0,7.775,S,Mr,1,1,alone,1,7.775,U
109,0,3,male,38.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
110,1,3,female,21.0,1,0,24.15,Q,Miss,2,0,small,3,8.049999999999999,U
111,0,1,male,47.0,0,0,52.0,S,Mr,1,1,alone,2,26.0,C
112,0,3,female,14.5,1,0,14.4542,C,Miss,2,0,small,2,7.2271,U
113,0,3,male,22.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
114,0,3,female,20.0,1,0,9.825,S,Miss,2,0,small,1,9.825,U
115,0,3,female,17.0,0,0,14.4583,C,Miss,1,1,alone,2,7.22915,U
116,0,3,male,21.0,0,0,7.925,S,Mr,1,1,alone,1,7.925,U
117,0,3,male,70.5,0,0,7.75,Q,Mr,1,1,alone,1,7.75,U
118,0,2,male,29.0,1,0,21.0,S,Mr,2,0,small,2,10.5,U
119,0,1,male,24.0,0,1,247.5208,C,Mr,2,0,small,3,82.50693333333334,B
120,0,3,female,2.0,4,2,31.275,S,Miss,7,0,large,7,4.4678571428571425,U
121,0,2,male,21.0,2,0,73.5,S,Mr,3,0,small,7,10.5,U
122,0,3,male,30.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
123,0,2,male,32.5,1,0,30.0708,C,Mr,2,0,small,2,15.0354,U
124,1,2,female,32.5,0,0,13.0,S,Miss,1,1,alone,1,13.0,E
125,0,1,male,54.0,0,1,77.2875,S,Mr,2,0,small,2,38.64375,D
126,1,3,male,12.0,1,0,11.2417,C,Master,2,0,small,2,5.62085,U
127,0,3,male,30.0,0,0,7.75,Q,Mr,1,1,alone,1,7.75,U
128,1,3,male,24.0,0,0,7.1417,S,Mr,1,1,alone,1,7.1417,U
129,1,3,female,21.0,1,1,22.3583,C,Miss,3,0,small,3,7.452766666666666,F
130,0,3,male,45.0,0,0,6.975,S,Mr,1,1,alone,1,6.975,U
131,0,3,male,33.0,0,0,7.8958,C,Mr,1,1,alone,1,7.8958,U
132,0,3,male,20.0,0,0,7.05,S,Mr,1,1,alone,1,7.05,U
133,0,3,female,47.0,1,0,14.5,S,Mrs,2,0,small,2,7.25,U
134,1,2,female,29.0,1,0,26.0,S,Mrs,2,0,small,2,13.0,U
135,0,2,male,25.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
136,0,2,male,23.0,0,0,15.0458,C,Mr,1,1,alone,1,15.0458,U
137,1,1,female,19.0,0,2,26.2833,S,Miss,3,0,small,1,26.2833,D
138,0,1,male,37.0,1,0,53.1,S,Mr,2,0,small,2,26.55,C
139,0,3,male,16.0,0,0,9.2167,S,Mr,1,1,alone,2,4.60835,U
140,0,1,male,24.0,0,0,79.2,C,Mr,1,1,alone,2,39.6,B
141,0,3,female,35.0,0,2,15.2458,C,Mrs,3,0,small,3,5.081933333333333,U
142,1,3,female,22.0,0,0,7.75,S,Miss,1,1,alone,1,7.75,U
143,1,3,female,24.0,1,0,15.85,S,Mrs,2,0,small,2,7.925,U
144,0,3,male,19.0,0,0,6.75,Q,Mr,1,1,alone,1,6.75,U
145,0,2,male,18.0,0,0,11.5,S,Mr,1,1,alone,1,11.5,U
146,0,2,male,19.0,1,1,36.75,S,Mr,3,0,small,4,9.1875,U
147,1,3,male,27.0,0,0,7.7958,S,Mr,1,1,alone,1,7.7958,U
148,0,3,female,9.0,2,2,34.375,S,Miss,5,0,large,5,6.875,U
149,0,2,male,36.5,0,2,26.0,S,Mr,3,0,small,3,8.666666666666666,F
150,0,2,male,42.0,0,0,13.0,S,Rare,1,1,alone,1,13.0,U
151,0,2,male,51.0,0,0,12.525,S,Rare,1,1,alone,1,12.525,U
152,1,1,female,22.0,1,0,66.6,S,Mrs,2,0,small,2,33.3,C
153,0,3,male,55.5,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
154,0,3,male,40.5,0,2,14.5,S,Mr,3,0,small,3,4.833333333333333,U
155,0,3,male,30.0,0,0,7.3125,S,Mr,1,1,alone,1,7.3125,U
156,0,1,male,51.0,0,1,61.3792,C,Mr,2,0,small,2,30.6896,U
157,1,3,female,16.0,0,0,7.7333,Q,Miss,1,1,alone,1,7.7333,U
158,0,3,male,30.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
159,0,3,male,30.0,0,0,8.6625,S,Mr,1,1,alone,1,8.6625,U
160,0,3,male,3.5,8,2,69.55,S,Master,11,0,large,11,6.322727272727272,U
161,0,3,male,44.0,0,1,16.1,S,Mr,2,0,small,2,8.05,U
162,1,2,female,40.0,0,0,15.75,S,Mrs,1,1,alone,2,7.875,U
163,0,3,male,26.0,0,0,7.775,S,Mr,1,1,alone,1,7.775,U
164,0,3,male,17.0,0,0,8.6625,S,Mr,1,1,alone,1,8.6625,U
165,0,3,male,1.0,4,1,39.6875,S,Master,6,0,large,7,5.669642857142857,U
166,1,3,male,9.0,0,2,20.525,S,Master,3,0,small,3,6.841666666666666,U
167,1,1,female,35.0,0,1,55.0,S,Mrs,2,0,small,2,27.5,E
168,0,3,female,45.0,1,4,27.9,S,Mrs,6,0,large,6,4.6499999999999995,U
169,0,1,male,30.0,0,0,25.925,S,Mr,1,1,alone,1,25.925,U
170,0,3,male,28.0,0,0,56.4958,S,Mr,1,1,alone,8,7.061975,U
171,0,1,male,61.0,0,0,33.5,S,Mr,1,1,alone,1,33.5,B
172,0,3,male,4.0,4,1,29.125,Q,Master,6,0,large,6,4.854166666666667,U
173,1,3,female,1.0,1,1,11.1333,S,Miss,3,0,small,3,3.7111,U
174,0,3,male,21.0,0,0,7.925,S,Mr,1,1,alone,1,7.925,U
175,0,1,male,56.0,0,0,30.6958,C,Mr,1,1,alone,1,30.6958,A
176,0,3,male,18.0,1,1,7.8542,S,Mr,3,0,small,1,7.8542,U
177,0,3,male,3.5,3,1,25.4667,S,Master,5,0,large,5,5.0933399999999995,U
178,0,1,female,50.0,0,0,28.7125,C,Miss,1,1,alone,1,28.7125,C
179,0,2,male,30.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
180,0,3,male,36.0,0,0,0.0,S,Mr,1,1,alone,4,0.0,U
181,0,3,female,21.0,8,2,69.55,S,Miss,11,0,large,11,6.322727272727272,U
182,0,2,male,30.0,0,0,15.05,C,Mr,1,1,alone,1,15.05,U
183,0,3,male,9.0,4,2,31.3875,S,Master,7,0,large,7,4.483928571428572,U
184,1,2,male,1.0,2,1,39.0,S,Master,4,0,small,4,9.75,F
185,1,3,female,4.0,0,2,22.025,S,Miss,3,0,small,3,7.341666666666666,U
186,0,1,male,30.0,0,0,50.0,S,Mr,1,1,alone,1,50.0,A
187,1,3,female,35.0,1,0,15.5,Q,Mrs,2,0,small,2,7.75,U
188,1,1,male,45.0,0,0,26.55,S,Mr,1,1,alone,1,26.55,U
189,0,3,male,40.0,1,1,15.5,Q,Mr,3,0,small,2,7.75,U
190,0,3,male,36.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
191,1,2,female,32.0,0,0,13.0,S,Mrs,1,1,alone,1,13.0,U
192,0,2,male,19.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
193,1,3,female,19.0,1,0,7.8542,S,Miss,2,0,small,1,7.8542,U
194,1,2,male,3.0,1,1,26.0,S,Master,3,0,small,3,8.666666666666666,F
195,1,1,female,44.0,0,0,27.7208,C,Mrs,1,1,alone,1,27.7208,B
196,1,1,female,58.0,0,0,146.5208,C,Miss,1,1,alone,3,48.84026666666667,B
197,0,3,male,30.0,0,0,7.75,Q,Mr,1,1,alone,1,7.75,U
198,0,3,male,42.0,0,1,8.4042,S,Mr,2,0,small,1,8.4042,U
199,1,3,female,21.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
200,0,2,female,24.0,0,0,13.0,S,Miss,1,1,alone,1,13.0,U
201,0,3,male,28.0,0,0,9.5,S,Mr,1,1,alone,1,9.5,U
202,0,3,male,30.0,8,2,69.55,S,Mr,11,0,large,11,6.322727272727272,U
203,0,3,male,34.0,0,0,6.4958,S,Mr,1,1,alone,1,6.4958,U
204,0,3,male,45.5,0,0,7.225,C,Mr,1,1,alone,1,7.225,U
205,1,3,male,18.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
206,0,3,female,2.0,0,1,10.4625,S,Miss,2,0,small,2,5.23125,G
207,0,3,male,32.0,1,0,15.85,S,Mr,2,0,small,2,7.925,U
208,1,3,male,26.0,0,0,18.7875,C,Mr,1,1,alone,2,9.39375,U
209,1,3,female,16.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
210,1,1,male,40.0,0,0,31.0,C,Mr,1,1,alone,1,31.0,A
211,0,3,male,24.0,0,0,7.05,S,Mr,1,1,alone,1,7.05,U
212,1,2,female,35.0,0,0,21.0,S,Miss,1,1,alone,2,10.5,U
213,0,3,male,22.0,0,0,7.25,S,Mr,1,1,alone,1,7.25,U
214,0,2,male,30.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
215,0,3,male,30.0,1,0,7.75,Q,Mr,2,0,small,1,7.75,U
216,1,1,female,31.0,1,0,113.275,C,Miss,2,0,small,3,37.75833333333333,D
217,1,3,female,27.0,0,0,7.925,S,Miss,1,1,alone,1,7.925,U
218,0,2,male,42.0,1,0,27.0,S,Mr,2,0,small,2,13.5,U
219,1,1,female,32.0,0,0,76.2917,C,Miss,1,1,alone,2,38.14585,D
220,0,2,male,30.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
221,1,3,male,16.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
222,0,2,male,27.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
223,0,3,male,51.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
224,0,3,male,30.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
225,1,1,male,38.0,1,0,90.0,S,Mr,2,0,small,2,45.0,C
226,0,3,male,22.0,0,0,9.35,S,Mr,1,1,alone,1,9.35,U
227,1,2,male,19.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
228,0,3,male,20.5,0,0,7.25,S,Mr,1,1,alone,1,7.25,U
229,0,2,male,18.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
230,0,3,female,21.0,3,1,25.4667,S,Miss,5,0,large,5,5.0933399999999995,U
231,1,1,female,35.0,1,0,83.475,S,Mrs,2,0,small,2,41.7375,C
232,0,3,male,29.0,0,0,7.775,S,Mr,1,1,alone,1,7.775,U
233,0,2,male,59.0,0,0,13.5,S,Mr,1,1,alone,1,13.5,U
234,1,3,female,5.0,4,2,31.3875,S,Miss,7,0,large,7,4.483928571428572,U
235,0,2,male,24.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
236,0,3,female,21.0,0,0,7.55,S,Miss,1,1,alone,1,7.55,U
237,0,2,male,44.0,1,0,26.0,S,Mr,2,0,small,2,13.0,U
238,1,2,female,8.0,0,2,26.25,S,Miss,3,0,small,3,8.75,U
239,0,2,male,19.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
240,0,2,male,33.0,0,0,12.275,S,Mr,1,1,alone,1,12.275,U
241,0,3,female,21.0,1,0,14.4542,C,Miss,2,0,small,2,7.2271,U
242,1,3,female,21.0,1,0,15.5,Q,Miss,2,0,small,2,7.75,U
243,0,2,male,29.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
244,0,3,male,22.0,0,0,7.125,S,Mr,1,1,alone,1,7.125,U
245,0,3,male,30.0,0,0,7.225,C,Mr,1,1,alone,1,7.225,U
246,0,1,male,44.0,2,0,90.0,Q,Rare,3,0,small,3,30.0,C
247,0,3,female,25.0,0,0,7.775,S,Miss,1,1,alone,1,7.775,U
248,1,2,female,24.0,0,2,14.5,S,Mrs,3,0,small,2,7.25,U
249,1,1,male,37.0,1,1,52.5542,S,Mr,3,0,small,2,26.2771,D
250,0,2,male,54.0,1,0,26.0,S,Rare,2,0,small,2,13.0,U
251,0,3,male,30.0,0,0,7.25,S,Mr,1,1,alone,1,7.25,U
252,0,3,female,29.0,1,1,10.4625,S,Mrs,3,0,small,2,5.23125,G
253,0,1,male,62.0,0,0,26.55,S,Mr,1,1,alone,1,26.55,C
254,0,3,male,30.0,1,0,16.1,S,Mr,2,0,small,2,8.05,U
255,0,3,female,41.0,0,2,20.2125,S,Mrs,3,0,small,3,6.7375,U
256,1,3,female,29.0,0,2,15.2458,C,Mrs,3,0,small,3,5.081933333333333,U
257,1,1,female,35.0,0,0,79.2,C,Mrs,1,1,alone,2,39.6,U
258,1,1,female,30.0,0,0,86.5,S,Miss,1,1,alone,3,28.833333333333332,B
259,1,1,female,35.0,0,0,512.3292,C,Miss,1,1,alone,4,128.0823,U
260,1,2,female,50.0,0,1,26.0,S,Mrs,2,0,small,2,13.0,U
261,0,3,male,30.0,0,0,7.75,Q,Mr,1,1,alone,1,7.75,U
262,1,3,male,3.0,4,2,31.3875,S,Master,7,0,large,7,4.483928571428572,U
263,0,1,male,52.0,1,1,79.65,S,Mr,3,0,small,3,26.55,E
264,0,1,male,40.0,0,0,0.0,S,Mr,1,1,alone,1,0.0,B
265,0,3,female,21.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
266,0,2,male,36.0,0,0,10.5,S,Mr,1,1,alone,1,10.5,U
267,0,3,male,16.0,4,1,39.6875,S,Mr,6,0,large,7,5.669642857142857,U
268,1,3,male,25.0,1,0,7.775,S,Mr,2,0,small,1,7.775,U
269,1,1,female,58.0,0,1,153.4625,S,Mrs,2,0,small,3,51.15416666666667,C
270,1,1,female,35.0,0,0,135.6333,S,Miss,1,1,alone,4,33.908325,C
271,0,1,male,30.0,0,0,31.0,S,Mr,1,1,alone,2,15.5,U
272,1,3,male,25.0,0,0,0.0,S,Mr,1,1,alone,4,0.0,U
273,1,2,female,41.0,0,1,19.5,S,Mrs,2,0,small,2,9.75,U
274,0,1,male,37.0,0,1,29.7,C,Mr,2,0,small,1,29.7,C
275,1,3,female,21.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
276,1,1,female,63.0,1,0,77.9583,S,Miss,2,0,small,3,25.986099999999997,D
277,0,3,female,45.0,0,0,7.75,S,Miss,1,1,alone,1,7.75,U
278,0,2,male,30.0,0,0,0.0,S,Mr,1,1,alone,3,0.0,U
279,0,3,male,7.0,4,1,29.125,Q,Master,6,0,large,6,4.854166666666667,U
280,1,3,female,35.0,1,1,20.25,S,Mrs,3,0,small,3,6.75,U
281,0,3,male,65.0,0,0,7.75,Q,Mr,1,1,alone,1,7.75,U
282,0,3,male,28.0,0,0,7.8542,S,Mr,1,1,alone,1,7.8542,U
283,0,3,male,16.0,0,0,9.5,S,Mr,1,1,alone,1,9.5,U
284,1,3,male,19.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
285,0,1,male,30.0,0,0,26.0,S,Mr,1,1,alone,1,26.0,A
286,0,3,male,33.0,0,0,8.6625,C,Mr,1,1,alone,1,8.6625,U
287,1,3,male,30.0,0,0,9.5,S,Mr,1,1,alone,1,9.5,U
288,0,3,male,22.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
289,1,2,male,42.0,0,0,13.0,S,Mr,1,1,alone,1,13.0,U
290,1,3,female,22.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
291,1,1,female,26.0,0,0,78.85,S,Miss,1,1,alone,3,26.28333333333333,U
292,1,1,female,19.0,1,0,91.0792,C,Mrs,2,0,small,2,45.5396,B
293,0,2,male,36.0,0,0,12.875,C,Mr,1,1,alone,1,12.875,D
294,0,3,female,24.0,0,0,8.85,S,Miss,1,1,alone,1,8.85,U
295,0,3,male,24.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
296,0,1,male,30.0,0,0,27.7208,C,Mr,1,1,alone,1,27.7208,U
297,0,3,male,23.5,0,0,7.2292,C,Mr,1,1,alone,1,7.2292,U
298,0,1,female,2.0,1,2,151.55,S,Miss,4,0,small,6,25.258333333333336,C
299,1,1,male,30.0,0,0,30.5,S,Mr,1,1,alone,1,30.5,C
300,1,1,female,50.0,0,1,247.5208,C,Mrs,2,0,small,3,82.50693333333334,B
301,1,3,female,21.0,0,0,7.75,Q,Miss,1,1,alone,1,7.75,U
302,1,3,male,30.0,2,0,23.25,Q,Mr,3,0,small,3,7.75,U
303,0,3,male,19.0,0,0,0.0,S,Mr,1,1,alone,4,0.0,U
304,1,2,female,21.0,0,0,12.35,Q,Miss,1,1,alone,1,12.35,E
305,0,3,male,30.0,0,0,8.05,S,Mr,1,1,alone,1,8.05,U
306,1,1,male,0.92,1,2,151.55,S,Master,4,0,small,6,25.258333333333336,C
307,1,1,female,21.0,0,0,110.8833,C,Miss,1,1,alone,4,27.720825,U
308,1,1,female,17.0,1,0,108.9,C,Mrs,2,0,small,3,36.300000000000004,C
309,0,2,male,30.0,1,0,24.0,C,Mr,2,0,small,2,12.0,U
310,1,1,female,30.0,0,0,56.9292,C,Miss,1,1,alone,2,28.4646,E
311,1,1,female,24.0,0,0,83.1583,C,Miss,1,1,alone,3,27.71943333333333,C
312,1,1,female,18.0,2,2,262.375,C,Miss,5,0,large,7,37.482142857142854,B
313,0,2,female,26.0,1,1,26.0,S,Mrs,3,0,small,2,13.0,U
314,0,3,male,28.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
315,0,2,male,43.0,1,1,26.25,S,Mr,3,0,small,3,8.75,U
316,1,3,female,26.0,0,0,7.8542,S,Miss,1,1,alone,1,7.8542,U
317,1,2,female,24.0,1,0,26.0,S,Mrs,2,0,small,2,13.0,U
318,0,2,male,54.0,0,0,14.0,S,Rare,1,1,alone,1,14.0,U
319,1,1,female,31.0,0,2,164.8667,S,Miss,3,0,small,4,41.216675,C
320,1,1,female,40.0,1,1,134.5,C,Mrs,3,0,small,5,26.9,E
321,0,3,male,22.0,0,0,7.25,S,Mr,1,1,alone,1,7.25,U
322,0,3,male,27.0,0,0,7.8958,S,Mr,1,1,alone,1,7.8958,U
323,1,2,female,30.0,0,0,12.35,Q,Miss,1,1,alone,1,12.35,U
324,1,2,female,22.0,1,1,29.0,S,Mrs,3,0,small,3,9.666666666666666,U
325,0,3,male,30.0,8,2,69.55,S,Mr,11,0,large,11,6.322727272727272,U
326,1,1,female,36.0,0,0,135.6333,C,Miss,1,1,alone,4,33.908325,C
327,0,3,male,61.0,0,0,6.2375,S,Mr,1,1,alone,1,6.2375,U
328,1,2,female,36.0,0,0,13.0,S,Mrs,1,1,alone,1,13.0,D
329,1,3,female,31.0,1,1,20.525,S,Mrs,3,0,small,3,6.841666666666666,U
